((G[0,2]p0 )R[0,2] (!p0 R[0,2] !p1))
00,00,01,00,s0
00,00,01,00,s1
00,00,01,01,s0
00,00,01,01,s1
00,01,00,00,s1
00,01,00,01,s0
00,01,00,01,s1
00,01,01,00,s0
00,01,01,00,s1
00,01,01,01,s0
00,01,01,01,s1
01,00,00,01,s0
01,00,00,01,s1
01,00,01,00,s0
01,00,01,00,s1
01,00,01,01,s0
01,00,01,01,s1
01,01,00,00,s1
01,01,00,01,s0
01,01,00,01,s1
01,01,01,00,s0
01,01,01,00,s1
01,01,01,01,s0
01,01,01,01,s1
00,00,01,10,s0
00,00,01,10,s1
00,00,01,11,s0
00,00,01,11,s1
00,01,00,11,s0
00,01,00,11,s1
00,01,01,10,s0
00,01,01,10,s1
00,01,01,11,s0
00,01,01,11,s1
01,00,00,11,s0
01,00,00,11,s1
01,00,01,10,s0
01,00,01,10,s1
01,00,01,11,s0
01,00,01,11,s1
01,01,00,11,s0
01,01,00,11,s1
01,01,01,10,s0
01,01,01,10,s1
01,01,01,11,s0
01,01,01,11,s1
00,00,11,00,s0
00,00,11,10,s0
00,00,11,00,s1
00,00,11,10,s1
00,00,11,01,s0
00,00,11,11,s0
00,00,11,01,s1
00,00,11,11,s1
00,01,11,00,s0
00,01,11,10,s0
00,01,11,00,s1
00,01,11,10,s1
00,01,11,01,s0
00,01,11,11,s0
00,01,11,01,s1
00,01,11,11,s1
01,00,11,00,s0
01,00,11,10,s0
01,00,11,00,s1
01,00,11,10,s1
01,00,11,01,s0
01,00,11,11,s0
01,00,11,01,s1
01,00,11,11,s1
01,01,11,00,s0
01,01,11,10,s0
01,01,11,00,s1
01,01,11,10,s1
01,01,11,01,s0
01,01,11,11,s0
01,01,11,01,s1
01,01,11,11,s1
00,11,00,00,s1
00,11,00,01,s0
00,11,00,01,s1
00,11,01,00,s0
00,11,01,00,s1
00,11,01,01,s0
00,11,01,01,s1
01,11,00,00,s1
01,11,00,01,s0
01,11,00,01,s1
01,11,01,00,s0
01,11,01,00,s1
01,11,01,01,s0
01,11,01,01,s1
00,11,00,11,s0
00,11,00,11,s1
00,11,01,10,s0
00,11,01,10,s1
00,11,01,11,s0
00,11,01,11,s1
01,11,00,11,s0
01,11,00,11,s1
01,11,01,10,s0
01,11,01,10,s1
01,11,01,11,s0
01,11,01,11,s1
00,11,11,00,s0
00,11,11,00,s1
00,11,11,01,s0
00,11,11,01,s1
01,11,11,00,s0
01,11,11,00,s1
01,11,11,01,s0
01,11,11,01,s1
00,11,10,10,s0
00,11,10,10,s1
00,11,10,11,s0
00,11,10,11,s1
00,11,11,10,s0
00,11,11,10,s1
00,11,11,11,s0
00,11,11,11,s1
01,11,10,10,s0
01,11,10,10,s1
01,11,10,11,s0
01,11,10,11,s1
01,11,11,10,s0
01,11,11,10,s1
01,11,11,11,s0
01,11,11,11,s1
11,00,00,01,s0
11,00,00,01,s1
11,00,01,00,s0
11,00,01,00,s1
11,00,01,01,s0
11,00,01,01,s1
11,01,00,00,s1
11,01,00,01,s0
11,01,00,01,s1
11,01,01,00,s0
11,01,01,00,s1
11,01,01,01,s0
11,01,01,01,s1
11,00,00,11,s0
11,00,00,11,s1
11,00,01,10,s0
11,00,01,10,s1
11,00,01,11,s0
11,00,01,11,s1
11,01,00,11,s0
11,01,00,11,s1
11,01,01,10,s0
11,01,01,10,s1
11,01,01,11,s0
11,01,01,11,s1
11,00,11,00,s0
11,00,11,10,s0
11,00,11,00,s1
11,00,11,10,s1
11,00,11,01,s0
11,00,11,11,s0
11,00,11,01,s1
11,00,11,11,s1
11,01,11,00,s0
11,01,11,10,s0
11,01,11,00,s1
11,01,11,10,s1
11,01,11,01,s0
11,01,11,11,s0
11,01,11,01,s1
11,01,11,11,s1
11,11,00,00,s1
11,11,00,01,s0
11,11,00,01,s1
11,11,01,00,s0
11,11,01,00,s1
11,11,01,01,s0
11,11,01,01,s1
11,11,00,11,s0
11,11,00,11,s1
11,11,01,10,s0
11,11,01,10,s1
11,11,01,11,s0
11,11,01,11,s1
11,10,10,00,s0
11,10,10,00,s1
11,10,10,01,s0
11,10,10,01,s1
11,10,11,00,s0
11,10,11,00,s1
11,10,11,01,s0
11,10,11,01,s1
11,11,10,00,s0
11,11,10,00,s1
11,11,10,01,s0
11,11,10,01,s1
11,11,11,00,s0
11,11,11,00,s1
11,11,11,01,s0
11,11,11,01,s1
11,10,10,10,s0
11,10,10,10,s1
11,10,10,11,s0
11,10,10,11,s1
11,10,11,10,s0
11,10,11,10,s1
11,10,11,11,s0
11,10,11,11,s1
11,11,10,10,s0
11,11,10,10,s1
11,11,10,11,s0
11,11,10,11,s1
11,11,11,10,s0
11,11,11,10,s1
11,11,11,11,s0
11,11,11,11,s1
